
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1913.8750      31.152     20.196      0.000     31.152     20.196   2078.424      0.085      0.326     64.832     20.588      0.000     20.588      5.478      5.478      0.494      0.590
1914.0000      30.200     20.153      0.000     30.200     20.153   1240.763      0.098      0.364     66.730     24.683      0.000     24.683      5.024      5.024      0.468      0.540
1914.1250      30.433     20.480      0.000     30.433     20.480   1407.537      0.110      0.402     67.295     28.699      0.000     28.699      4.977      4.977      0.461      0.520
1914.2500      29.176     20.428      0.000     29.176     20.428    712.339      0.121      0.438     70.015     32.418      0.000     32.418      4.374      4.374      0.428      0.501
1914.3750      28.273     20.283      0.000     28.273     20.283    436.649      0.131      0.474     71.738     34.911      0.000     34.911      3.995      3.995      0.409      0.462
1914.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.131      0.474    100.000     37.396      0.000     37.396      0.000      0.000      0.402      0.418
1914.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.131      0.474    100.000     36.856      0.000     36.856      0.000      0.000      0.395      0.386
1914.7500      27.070     19.563      0.000     27.070     19.563    227.509      0.141      0.508     72.266     31.656      0.000     31.656      3.754      3.754      0.404      0.389
1914.8750      27.835     19.566      0.000     27.835     19.566    344.407      0.151      0.542     70.292     25.517      0.000     25.517      4.135      4.135      0.425      0.426
1915.0000      29.461     19.685      0.000     29.461     19.685    831.382      0.163      0.579     66.815     20.031      0.000     20.031      4.888      4.888      0.467      0.495
1915.1250      29.670     19.530      0.000     29.670     19.530    930.892      0.176      0.616     65.825     16.461      0.000     16.461      5.070      5.070      0.480      0.553
1915.2500      29.131     19.720      0.000     29.131     19.720    695.010      0.188      0.653     67.696     14.854      0.000     14.854      4.705      4.705      0.456      0.598
1915.3750      28.397     20.017      0.000     28.397     20.017    466.962      0.198      0.688     70.490     15.550      0.000     15.550      4.190      4.190      0.423      0.641
1915.5000      27.646     20.437      0.000     27.646     20.437    310.775      0.207      0.723     73.924     17.771      0.000     17.771      3.605      3.605      0.387      0.658
1915.6250      28.149     21.143      0.000     28.149     21.143    408.262      0.216      0.758     75.112     21.286      0.000     21.286      3.503      3.503      0.376      0.617
1915.7500      28.985     21.784      0.000     28.985     21.784    642.085      0.225      0.794     75.156     24.151      0.000     24.151      3.601      3.601      0.376      0.585
1915.8750      30.024     22.585      0.000     30.024     22.585   1127.925      0.234      0.832     75.224     26.928      0.000     26.928      3.719      3.719      0.375      0.554
1916.0000      28.888     22.963      0.000     28.888     22.963    609.335      0.242      0.868     79.491     28.251      0.000     28.251      2.962      2.962      0.339      0.464
1916.1250      29.536     23.624      0.000     29.536     23.624    865.888      0.249      0.905     79.983     27.558      0.000     27.558      2.956      2.956      0.335      0.440
1916.2500      30.450     23.638      0.000     30.450     23.638   1420.550      0.257      0.943     77.631     27.816      0.000     27.816      3.406      3.406      0.354      0.436
1916.3750      31.337     23.664      0.000     31.337     23.664   2297.988      0.267      0.982     75.513     29.437      0.000     29.437      3.837      3.837      0.372      0.449
1916.5000      31.849     23.729      0.000     31.849     23.729   3032.547      0.277      1.022     74.505     32.177      0.000     32.177      4.060      4.060      0.382      0.460
1916.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.022    100.000     36.375      0.000     36.375      0.000      0.000      0.351      0.430
1916.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.022    100.000     40.828      0.000     40.828      0.000      0.000      0.317      0.389
1916.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.022    100.000     44.425      0.000     44.425      0.000      0.000      0.283      0.379
1917.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.022    100.000     49.125      0.000     49.125      0.000      0.000      0.257      0.347
1917.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.022    100.000     54.081      0.000     54.081      0.000      0.000      0.275      0.346
1917.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     57.661      0.000     57.661      0.000      0.000      0.289      0.330
1917.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     60.470      0.000     60.470      0.000      0.000      0.274      0.279
1917.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.346      0.000     62.346      0.000      0.000      0.252      0.242
1917.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.687      0.000     62.687      0.000      0.000      0.234      0.221
1917.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.791      0.000     62.791      0.000      0.000      0.216      0.194
1917.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.085      0.000     62.085      0.000      0.000      0.184      0.153
1918.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.799      0.000     62.799      0.000      0.000      0.147      0.118
1918.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.023    100.000     62.042      0.000     62.042      0.000      0.000      0.126      0.104
1918.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     62.115      0.000     62.115      0.000      0.000      0.240      0.213
1918.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     62.702      0.000     62.702      0.000      0.000      0.282      0.281
1918.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     64.076      0.000     64.076      0.000      0.000      0.248      0.266
1918.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     65.283      0.000     65.283      0.000      0.000      0.243      0.252
1918.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     67.352      0.000     67.352      0.000      0.000      0.314      0.299
1918.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     68.262      0.000     68.262      0.000      0.000      0.251      0.212
1919.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     70.128      0.000     70.128      0.000      0.000      0.188      0.151
1919.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.024    100.000     71.558      0.000     71.558      0.000      0.000      0.210      0.163
1919.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     72.333      0.000     72.333      0.000      0.000      0.183      0.146
1919.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     73.539      0.000     73.539      0.000      0.000      0.162      0.135
1919.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     73.965      0.000     73.965      0.000      0.000      0.224      0.202
1919.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     74.140      0.000     74.140      0.000      0.000      0.271      0.266
1919.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     73.647      0.000     73.647      0.000      0.000      0.315      0.303
1919.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     72.113      0.000     72.113      0.000      0.000      0.357      0.315
1920.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     96.237      0.000     96.237      0.000      0.000      0.373      0.287
1920.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.025    100.000     94.388      0.000     94.388      0.000      0.000      0.328      0.216
1920.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     93.459      0.000     93.459      0.000      0.000      0.281      0.165
1920.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     93.561      0.000     93.561      0.000      0.000      0.224      0.120
1920.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     93.533      0.000     93.533      0.000      0.000      0.187      0.090
1920.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     93.476      0.000     93.476      0.000      0.000      0.131      0.063
1920.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     93.686      0.000     93.686      0.000      0.000      0.155      0.083
1920.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     94.853      0.000     94.853      0.000      0.000      0.198      0.116
1921.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     96.243      0.000     96.243      0.000      0.000      0.231      0.164
1921.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.026    100.000     97.022      0.000     97.022      0.000      0.000      0.243      0.210
1921.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     94.756      0.000     94.756      0.000      0.000      0.267      0.250
1921.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     90.291      0.000     90.291      0.000      0.000      0.322      0.314
1921.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     87.345      0.000     87.345      0.000      0.000      0.265      0.269
